"Time (ns)","RMSD (Å)"
7.85,1.8737
7.86,1.90162
7.87,1.91717
7.88,1.99113
7.89,2.00342
7.9,2.04536
7.91,2.01482
7.92,2.14291
7.93,2.03989
7.94,2.04448
7.95,1.96871
7.96,1.97896
7.97,1.93961
7.98,1.94718
7.99,1.97504
8,2.02426
8.01,2.01105
8.02,2.07324
8.03,2.04357
8.04,2.03873
8.05,2.0595
8.06,1.89463
8.07,1.99243
8.08,2.02645
8.09,2.04262
8.1,2.10092
8.11,2.092
8.12,2.03974
8.13,1.94545
8.14,1.93939
8.15,1.91561
8.16,1.85919
8.17,1.96755
8.18,1.98585
8.19,1.95558
8.2,1.88245
8.21,1.91545
8.22,1.90323
8.23,1.83914
8.24,1.8698
8.25,1.85707
8.26,1.9557
8.27,1.86165
8.28,1.84855
8.29,1.89864
8.3,1.88396
8.31,1.83943
8.32,1.88478
8.33,1.86405
8.34,1.902
8.35,1.86691
8.36,2.0011
8.37,1.84243
8.38,1.9714
8.39,1.97586
8.4,1.96451
8.41,1.87932
8.42,1.92181
8.43,1.95635
8.44,1.87941
8.45,1.85961
8.46,1.85563
8.47,1.921
8.48,1.94834
8.49,1.93708
8.5,1.88596
8.51,1.88555
8.52,1.92068
8.53,1.86691
8.54,1.83867
8.55,1.79974
8.56,1.84818
8.57,1.93829
8.58,1.9051
8.59,1.94098
8.6,1.87089
8.61,1.81496
8.62,1.89297
8.63,1.88043
8.64,1.86544
8.65,1.91979
8.66,1.92809
8.67,1.92028
8.68,1.94524
8.69,1.88587
8.7,1.8599
8.71,1.86671
8.72,1.83259
8.73,1.78803
8.74,1.87839
8.75,1.84952
8.76,1.80337
8.77,1.92977
8.78,1.90331
8.79,1.9148
8.8,1.96206
8.81,1.96619
8.82,2.01058
8.83,1.92431
8.84,2.00891
8.85,1.90578
8.86,1.97598
8.87,1.94854
8.88,1.90918
8.89,1.90869
8.9,1.91196
8.91,1.98076
8.92,2.0729
8.93,1.91053
8.94,1.94718
8.95,2.00719
8.96,1.92577
8.97,1.97376
8.98,1.9381
8.99,2.03438
9,2.02612
9.01,1.97026
9.02,1.93436
9.03,1.99771
9.04,1.98005
9.05,2.03493
9.06,2.01718
9.07,1.94782
9.08,1.93359
9.09,1.87861
9.1,1.94488
9.11,1.93614
9.12,1.97356
9.13,2.00147
9.14,2.01723
9.15,2.00724
9.16,2.03778
9.17,1.91871
9.18,1.94652
9.19,1.96482
9.2,1.99206
9.21,1.95929
9.22,2.03636
9.23,2.01487
9.24,1.96622
9.25,2.01261
9.26,1.93206
9.27,1.94933
9.28,1.99547
9.29,1.98003
9.3,1.9583
9.31,1.91123
9.32,1.91171
9.33,1.95809
9.34,1.99207
9.35,2.02207
9.36,1.92886
9.37,2.03719
9.38,2.0274
9.39,2.00437
9.4,1.99977
9.41,1.99308
9.42,2.10682
9.43,2.06405
9.44,1.97102
9.45,1.98674
9.46,1.89073
9.47,1.93724
9.48,2.04346
9.49,1.99684
9.5,2.1091
9.51,2.04759
9.52,2.12505
9.53,2.07355
9.54,2.12724
9.55,2.09004
9.56,2.10066
9.57,2.19112
9.58,2.04928
9.59,2.0697
9.6,2.13323
9.61,2.06161
9.62,2.1481
9.63,2.10024
9.64,2.14653
9.65,2.06715
9.66,2.04892
9.67,1.95819
9.68,2.00432
9.69,2.03263
9.7,1.89293
9.71,1.92287
9.72,2.0556
9.73,2.00651
9.74,1.98695
9.75,1.92675
9.76,1.96468
9.77,1.98399
9.78,1.94186
9.79,1.85947
9.8,1.89114
9.81,1.86197
9.82,1.87898
9.83,1.90544
9.84,1.97543
9.85,1.91225
9.86,2.02359
9.87,1.86922
9.88,1.9273
9.89,2.05264
9.9,1.95041
9.91,1.91219
9.92,1.92834
9.93,1.85535
9.94,1.9356
9.95,1.90748
9.96,1.98412
9.97,1.92692
9.98,1.8456
9.99,1.87833
10,1.82818
10.01,1.9393
10.02,1.90667
10.03,1.90896
10.04,1.84111
10.05,1.87953
10.06,1.85593
10.07,1.85118
10.08,1.89424
10.09,1.79524
10.1,1.91232
10.11,1.93098
10.12,1.87817
10.13,1.88443
10.14,1.876
10.15,1.9006
10.16,1.91705
10.17,1.81052
10.18,1.86004
10.19,1.92028
10.2,1.94709
10.21,1.82033
10.22,1.7863
10.23,1.92607
10.24,1.94217
10.25,1.8439
10.26,1.82065
10.27,1.77402
10.28,1.78158
10.29,1.76301
10.3,1.77005
10.31,1.90852
10.32,1.86901
10.33,1.86189
10.34,1.95646
10.35,1.98414
10.36,1.95665
10.37,1.82371
10.38,1.81333
10.39,1.80532
10.4,1.84997
10.41,1.84168
10.42,2.03871
10.43,1.93235
10.44,1.99116
10.45,1.86703
10.46,1.83352
