Time (ns),970RMSD (Å),239RMSD (Å),Substrate,14475 RMSD (Å)
2.26,1.98494,2.24269,2.09857,1.9326
2.27,2.15395,2.24893,2.10993,1.99258
2.28,2.10857,2.37431,2.13926,1.84963
2.29,2.05216,2.43165,2.14095,1.81208
2.3,1.94507,2.56135,2.10441,1.83891
2.31,1.99824,2.64676,2.0809,1.86703
2.32,2.02113,2.54713,2.27711,1.88136
2.33,1.88059,2.65785,2.36289,1.88643
2.34,1.82186,2.64512,2.25742,2.01246
2.35,1.75692,2.55472,2.24721,2.00403
2.36,1.77576,2.60058,2.2637,2.1566
2.37,1.78296,2.70952,2.33704,1.89507
2.38,1.78454,2.57376,2.26037,1.99288
2.39,1.77004,2.5617,2.31448,1.95623
2.4,1.80098,2.57763,2.30626,1.86542
2.41,1.95797,2.56539,2.18348,2.01055
2.42,1.92323,2.3835,2.05494,1.98668
2.43,2.05156,2.3477,2.23873,1.9793
2.44,2.0544,2.30315,2.24004,1.98557
2.45,2.0161,2.33749,2.17245,2.06992
2.46,1.93858,2.44146,2.16008,1.97957
2.47,1.97758,2.39424,2.08243,2.07605
2.48,2.06699,2.48407,2.16092,2.08647
2.49,2.17583,2.44729,2.04033,2.15732
2.5,2.09235,2.54044,2.22967,2.08234
2.51,2.08277,2.46711,2.21132,2.11563
2.52,2.26881,2.34574,2.12656,2.12976
2.53,2.27002,2.32821,2.1045,2.10865
2.54,2.22329,2.29117,2.21427,2.0423
2.55,2.14173,2.34177,2.09738,2.07597
2.56,2.18334,2.46955,2.12846,1.98872
2.57,2.15698,2.35607,2.16054,1.87228
2.58,2.09767,2.4864,2.16617,1.88509
2.59,2.14533,2.54279,2.32721,2.01866
2.6,2.12072,2.40103,2.31158,2.00701
2.61,2.07089,2.48324,2.2043,2.03505
2.62,2.05247,2.32027,2.24685,1.99647
2.63,2.06409,2.22538,2.21342,2.03253
2.64,1.98644,2.28315,2.1887,1.96372
2.65,2.01208,2.27759,2.16045,1.98226
2.66,1.98759,2.24178,2.21354,2.10795
2.67,2.03169,2.25573,2.31358,2.11226
2.68,2.06277,2.22543,2.25803,2.05475
2.69,2.04647,2.30799,2.30395,2.10242
2.7,2.10094,2.26778,2.25901,2.1004
2.71,2.04054,2.41865,2.20025,2.11559
2.72,2.09575,2.4407,2.32732,2.02272
2.73,2.03414,2.29975,2.3039,2.05095
2.74,1.98985,2.27991,2.382,1.99793
2.75,1.95257,2.19337,2.44105,2.06824
2.76,1.93239,2.10173,2.28044,2.04766
2.77,1.96828,2.23604,2.32291,2.00536
2.78,1.93887,2.28806,2.33319,2.01229
2.79,1.83986,2.33133,2.1505,2.0105
2.8,1.86797,2.24152,2.21117,2.0673
2.81,1.92826,2.24273,2.17353,1.95902
2.82,1.88733,2.25316,2.23788,2.02863
2.83,2.02137,2.11012,2.10738,2.03186
2.84,1.78387,2.21149,2.28336,2.07285
2.85,1.93532,2.22416,2.35349,2.12229
2.86,1.9654,2.27376,2.27894,2.1682
2.87,1.96436,2.25157,2.24408,2.07614
2.88,2.0534,2.29964,2.23601,1.99248
2.89,2.05283,2.36581,2.32663,2.03315
2.9,1.98167,2.34638,2.35531,1.96886
2.91,2.04316,2.42526,2.39957,1.86902
2.92,1.9948,2.43696,2.20808,1.87705
2.93,1.96616,2.48719,2.28732,1.97757
2.94,1.97797,2.41894,2.27851,1.9754
2.95,2.03062,2.39244,2.20331,2.04045
2.96,2.02517,2.44219,2.22339,1.99262
2.97,1.96548,2.42,2.22677,2.07628
2.98,2.03861,2.53402,2.11086,2.10043
2.99,2.09106,2.44947,2.08652,1.99341
3,2.04921,2.47768,2.12485,2.07292
3.01,2.03866,2.49415,2.17394,2.01886
3.02,2.08603,2.39895,2.2797,1.96636
3.03,2.09138,2.22669,2.23939,1.91132
3.04,2.10725,2.23877,2.23051,1.96423
3.05,2.11396,2.14292,2.22254,1.92743
3.06,2.1682,2.09825,2.24624,1.90112
3.07,2.22421,2.22269,2.13683,1.9162
3.08,2.1935,2.14763,2.21624,1.91763
3.09,2.18799,2.04298,2.22661,1.93556
3.1,2.23115,2.11208,2.21486,1.85647
3.11,2.1768,2.02143,2.31208,1.93809
3.12,2.14102,2.17083,2.29811,1.90866
3.13,2.24472,2.2001,2.32002,1.99874
3.14,2.28211,2.28036,2.26153,2.07224
3.15,2.28096,2.23228,2.25203,1.97997
3.16,2.25248,2.29527,2.20415,2.00775
3.17,2.3,2.20363,2.28319,2.03324
3.18,2.23729,2.19619,2.36884,2.11887
3.19,2.18531,2.28507,2.26323,2.09696
3.2,2.17206,2.22775,2.24513,2.10919
3.21,2.21029,2.28368,2.15826,2.10215
3.22,2.21222,2.12755,2.16332,2.0891
3.23,2.31251,2.10671,2.10945,2.0526
3.24,2.28131,2.20302,2.06195,1.95966
3.25,2.19702,2.28409,2.01008,2.02679
3.26,2.2284,2.40347,2.01019,2.09391
3.27,2.27269,2.34163,2.11962,2.16123
3.28,2.241,2.35796,2.14334,2.04279
3.29,2.14392,2.319,2.0812,2.07516
3.3,2.17556,2.27728,1.98436,2.04723
3.31,2.17861,2.38506,2.053,2.00531
3.32,2.14666,2.2646,2.22914,2.01804
3.33,2.15856,2.25473,2.1302,2.0647
3.34,2.15554,2.34572,2.20641,2.04031
3.35,2.16987,2.15697,2.11681,1.94146
3.36,2.20906,2.18928,2.09439,1.87777
3.37,2.24251,2.23183,1.95679,1.96743
3.38,2.16264,2.31401,1.98242,2.08593
3.39,2.17377,2.34456,2.05122,2.04703
3.4,2.12408,2.30962,1.99931,2.09008
3.41,2.28235,2.23506,1.98227,1.97855
3.42,2.27208,2.29403,1.97363,2.00001
3.43,2.23838,2.24876,2.12169,1.94753
3.44,2.21275,2.3947,2.01783,1.94616
3.45,2.21445,2.31508,1.95704,1.91617
3.46,2.26506,2.40414,2.01065,1.9846
3.47,2.25737,2.26645,1.99983,1.98216
3.48,2.22399,2.38018,2.09204,1.90355
3.49,2.17613,2.33112,2.11943,1.92568
3.5,2.14713,2.3877,2.09135,1.92904
3.51,2.11392,2.37669,2.07227,2.00166
3.52,2.18395,2.37945,2.1253,1.91157
3.53,2.12921,2.46385,2.16814,2.00953
3.54,2.22127,2.46988,2.13306,2.08533
3.55,2.25347,2.44956,2.12246,1.96071
3.56,2.36414,2.46936,1.97925,2.06961
3.57,2.25882,2.31895,1.93695,2.05016
3.58,2.19281,2.27817,2.00091,2.0344
3.59,2.1428,2.29311,1.95294,2.02998
3.6,2.24675,2.2637,2.11011,2.08199
3.61,2.2924,2.37903,2.02131,2.21167
3.62,2.25485,2.22509,2.10938,2.1385
3.63,2.27586,2.27414,1.99802,1.9819
3.64,2.26519,2.28152,2.0655,2.04343
3.65,2.26352,2.2236,2.18067,1.96589
3.66,2.33754,2.23977,2.04083,1.92812
3.67,2.24046,2.19412,2.16857,2.05024
3.68,2.31452,2.2275,2.10874,2.0157
3.69,2.30069,2.2081,2.16549,2.05371
3.7,2.47662,2.20256,2.12952,2.0831
3.71,2.55952,2.10485,2.23421,2.03825
3.72,2.44695,2.23218,2.27119,2.00975
3.73,2.40753,2.32234,2.1048,1.98612
3.74,2.34627,2.26494,2.17298,1.89359
3.75,2.32075,2.21616,2.14054,1.95097
3.76,2.39992,2.16311,1.99682,2.06698
3.77,2.40642,2.1881,1.97659,2.09779
3.78,2.43055,2.25175,2.00657,2.11185
3.79,2.43988,2.25123,2.06766,2.09067
3.8,2.345,2.2469,2.04524,2.14077
3.81,2.39359,2.22706,2.06133,2.06069
3.82,2.33129,2.2861,1.88506,2.08083
3.83,2.36877,2.26118,2.09336,1.99132
3.84,2.44626,2.18538,2.01317,2.02661
3.85,2.35242,2.14971,1.80323,1.96046
3.86,2.48503,2.18818,1.9617,2.00982
3.87,2.44576,2.21563,1.97487,2.00319
3.88,2.35499,2.32336,1.93564,2.04776
3.89,2.33865,2.37253,1.93578,1.99233
3.9,2.40373,2.26968,2.00751,1.95522
3.91,2.39465,2.22968,2.02351,2.085
3.92,2.42585,2.21316,2.00695,2.03195
3.93,2.33284,2.12989,2.06827,1.88479
3.94,2.40173,2.15019,2.04693,2.02162
3.95,2.41628,2.10826,2.06266,2.02833
3.96,2.41971,2.11073,2.13543,1.98727
3.97,2.36277,2.27582,2.0988,2.09517
3.98,2.37874,2.24442,2.16126,1.99566
3.99,2.28639,2.2379,2.08809,2.04146
4,2.34164,2.26108,2.11582,2.0774
4.01,2.36349,2.19678,2.15502,2.09413
4.02,2.36204,2.23467,2.07493,2.2042
4.03,2.34614,2.26256,2.04355,2.09456
4.04,2.35769,2.33406,2.02335,2.15588
4.05,2.39662,2.2961,1.96234,2.15128
4.06,2.3618,2.2071,2.03891,2.10263
4.07,2.34719,2.34718,2.09081,2.16185
4.08,2.3384,2.38242,2.00843,2.13851
4.09,2.36753,2.33065,2.07096,2.14946
4.1,2.28583,2.47771,2.04563,2.23453
4.11,2.3818,2.53957,2.08426,2.19275
4.12,2.34995,2.39152,2.17691,2.1046
