"Time (ns)","RMSD (Å)"
4.99,2.36183
5,2.39386
5.01,2.36979
5.02,2.39524
5.03,2.35009
5.04,2.32919
5.05,2.32828
5.06,2.38902
5.07,2.31099
5.08,2.34476
5.09,2.3045
5.1,2.31175
5.11,2.34301
5.12,2.24426
5.13,2.20382
5.14,2.2506
5.15,2.27192
5.16,2.25077
5.17,2.33437
5.18,2.33513
5.19,2.32151
5.2,2.32381
5.21,2.23151
5.22,2.28298
5.23,2.30461
5.24,2.24366
5.25,2.24639
5.26,2.20963
5.27,2.17467
5.28,2.2127
5.29,2.25784
5.3,2.32174
5.31,2.27742
5.32,2.30654
5.33,2.26923
5.34,2.26173
5.35,2.18324
5.36,2.21608
5.37,2.18933
5.38,2.26653
5.39,2.28395
5.4,2.24939
5.41,2.22703
5.42,2.18951
5.43,2.29132
5.44,2.1933
5.45,2.09028
5.46,2.1508
5.47,2.2289
5.48,2.17911
5.49,2.17966
5.5,2.27359
5.51,2.18019
5.52,2.16257
5.53,2.12415
5.54,2.1834
5.55,2.22629
5.56,2.22579
5.57,2.28208
5.58,2.21446
5.59,2.32042
5.6,2.30459
5.61,2.29571
5.62,2.26475
5.63,2.25718
5.64,2.23524
5.65,2.20612
5.66,2.26835
5.67,2.25741
5.68,2.21528
5.69,2.19369
5.7,2.21684
5.71,2.24366
5.72,2.2672
5.73,2.31521
5.74,2.37913
5.75,2.35549
5.76,2.34855
5.77,2.32433
5.78,2.17641
5.79,2.27363
5.8,2.29261
5.81,2.19874
5.82,2.18943
5.83,2.20547
5.84,2.17596
5.85,2.27216
5.86,2.25045
5.87,2.17729
5.88,2.13262
5.89,2.18206
5.9,2.26178
5.91,2.26776
5.92,2.19956
5.93,2.25139
5.94,2.21702
5.95,2.21863
5.96,2.25479
5.97,2.2017
5.98,2.20437
5.99,2.15793
6,2.26405
6.01,2.18105
6.02,2.18997
6.03,2.25357
6.04,2.29341
6.05,2.27395
6.06,2.31712
6.07,2.21743
6.08,2.29814
6.09,2.28033
6.1,2.25198
6.11,2.21093
6.12,2.27598
6.13,2.2976
6.14,2.23324
6.15,2.31525
6.16,2.27107
6.17,2.24014
6.18,2.25502
6.19,2.29989
6.2,2.2695
6.21,2.20161
6.22,2.31279
6.23,2.32872
6.24,2.28702
6.25,2.19601
6.26,2.21548
6.27,2.25432
6.28,2.18227
6.29,2.30761
6.3,2.19461
6.31,2.16291
6.32,2.23577
6.33,2.22656
6.34,2.28445
6.35,2.3181
6.36,2.22158
6.37,2.20945
6.38,2.21118
6.39,2.25761
6.4,2.19738
6.41,2.17668
6.42,2.23211
6.43,2.21555
6.44,2.19412
6.45,2.27288
6.46,2.31338
6.47,2.25469
6.48,2.28481
6.49,2.19058
6.5,2.22702
6.51,2.27075
6.52,2.18484
6.53,2.23146
6.54,2.21657
6.55,2.17768
6.56,2.18554
6.57,2.1104
6.58,2.26828
6.59,2.19538
6.6,2.23668
6.61,2.24498
6.62,2.29703
6.63,2.28797
6.64,2.19282
6.65,2.15808
6.66,2.20366
6.67,2.20622
6.68,2.22889
6.69,2.14813
6.7,2.18595
6.71,2.20524
6.72,2.23727
6.73,2.22617
6.74,2.29841
6.75,2.25066
6.76,2.18568
6.77,2.23635
6.78,2.28515
6.79,2.2281
6.8,2.28245
6.81,2.28822
6.82,2.28183
6.83,2.23446
6.84,2.21284
6.85,2.27036
6.86,2.29764
6.87,2.2937
6.88,2.26909
6.89,2.24506
6.9,2.27602
6.91,2.24833
6.92,2.24189
6.93,2.22079
6.94,2.25515
6.95,2.16445
6.96,2.15418
6.97,2.11439
6.98,2.16088
