"Time (ns)","RMSD (Å)"
7.57,2.29373
7.58,2.31612
7.59,2.29812
7.6,2.3381
7.61,2.30917
7.62,2.31075
7.63,2.28691
7.64,2.27276
7.65,2.37984
7.66,2.3477
7.67,2.44288
7.68,2.44279
7.69,2.32312
7.7,2.26893
7.71,2.30993
7.72,2.29006
7.73,2.28585
7.74,2.2652
7.75,2.26521
7.76,2.33124
7.77,2.33115
7.78,2.25398
7.79,2.33411
7.8,2.18061
7.81,2.31151
7.82,2.33081
7.83,2.21359
7.84,2.25252
7.85,2.19275
7.86,2.16969
7.87,2.19967
7.88,2.2497
7.89,2.11151
7.9,2.11052
7.91,2.10003
7.92,2.10422
7.93,2.11775
7.94,2.09258
7.95,2.09493
7.96,2.15414
7.97,2.22415
7.98,2.13211
7.99,2.20996
8,2.25582
8.01,2.22311
8.02,2.27698
8.03,2.17484
8.04,2.34214
8.05,2.28531
8.06,2.25832
8.07,2.29071
8.08,2.28483
8.09,2.1632
8.1,2.04016
8.11,2.1319
8.12,2.18399
8.13,2.12459
8.14,2.22409
8.15,2.20165
8.16,2.14745
8.17,2.1639
8.18,2.18629
8.19,2.20048
8.2,2.19336
8.21,2.15889
8.22,2.08359
8.23,2.16433
8.24,2.25537
8.25,2.17117
8.26,2.18564
8.27,2.22014
8.28,2.17258
8.29,2.17823
8.3,2.17372
8.31,2.25866
8.32,2.36211
8.33,2.2629
8.34,2.31617
8.35,2.29902
8.36,2.2531
8.37,2.03076
8.38,2.1406
8.39,2.31952
8.4,2.18424
8.41,2.11562
8.42,2.25426
8.43,2.06809
8.44,2.16585
8.45,2.16886
8.46,2.11342
8.47,2.12517
8.48,2.1492
8.49,2.21081
8.5,2.20035
8.51,2.29518
8.52,2.31916
8.53,2.36253
8.54,2.33084
8.55,2.22944
8.56,2.16227
8.57,2.16976
8.58,2.22657
8.59,2.37029
8.6,2.30095
8.61,2.22461
8.62,2.30943
8.63,2.26413
8.64,2.23547
8.65,2.25433
8.66,2.22078
8.67,2.11983
8.68,2.23146
8.69,2.30499
8.7,2.335
8.71,2.24267
8.72,2.2509
8.73,2.24858
8.74,2.16556
8.75,2.3174
8.76,2.25112
8.77,2.36069
8.78,2.41881
8.79,2.30149
8.8,2.22729
8.81,2.17854
8.82,2.14616
8.83,1.97968
8.84,2.03248
8.85,2.11306
8.86,2.28302
8.87,2.19583
8.88,2.23719
8.89,2.3211
8.9,2.50521
8.91,2.37854
8.92,2.23019
8.93,2.28157
8.94,2.18694
8.95,2.12782
8.96,2.20437
8.97,2.25783
8.98,2.21717
8.99,2.1255
9,2.11777
9.01,2.11406
9.02,2.17893
9.03,2.02821
9.04,2.15054
9.05,2.09183
9.06,2.23375
9.07,2.25491
9.08,2.23391
9.09,2.16052
9.1,2.10696
9.11,2.0295
9.12,2.1733
9.13,2.12118
9.14,2.19941
9.15,2.19636
9.16,2.19488
9.17,2.16192
9.18,2.35843
9.19,2.30516
9.2,2.2515
9.21,2.29839
9.22,2.26664
9.23,2.23827
9.24,2.29638
9.25,2.23133
9.26,2.41188
9.27,2.33731
9.28,2.23499
9.29,2.17491
9.3,2.19491
9.31,2.25476
9.32,2.23654
9.33,2.17665
9.34,2.21706
