Time (ns),RMSD (Å),RMSD (Å),RMSD (Å),Variance,Average,Standard deviation 
1.25,2.13246,1.73612,1.73612,0.034907866,1.868233333,0.186836468
1.26,2.19108,1.74908,1.74908,0.043414222,1.896413333,0.208360798
1.27,2.22482,1.63932,1.63932,0.076180056,1.834486667,0.276007347
1.28,2.14775,1.69049,1.69049,0.046463713,1.84291,0.215554431
1.29,2.2171,1.71238,1.71238,0.056609395,1.88062,0.23792729
1.3,2.10808,1.71443,1.71443,0.034435627,1.845646667,0.18556839
1.31,2.06279,1.64733,1.64733,0.038357114,1.785816667,0.195849722
1.32,2.09712,1.54837,1.54837,0.066917014,1.731286667,0.258683231
1.33,2.01297,1.62385,1.62385,0.033647639,1.753556667,0.183432927
1.34,2.03949,1.67195,1.67195,0.030019034,1.794463333,0.173260018
1.35,2.20646,1.66964,1.66964,0.064039047,1.84858,0.253059375
1.36,2.20116,1.68031,1.68031,0.060285494,1.853926667,0.245531045
1.37,2.15064,1.65288,1.65288,0.055058893,1.8188,0.234646314
1.38,2.11588,1.6467,1.6467,0.048917749,1.803093333,0.221173573
1.39,2.08518,1.56942,1.56942,0.059112973,1.74134,0.243131596
1.4,2.12506,1.61008,1.61008,0.058934311,1.78174,0.2427639
1.41,2.11904,1.6908,1.6908,0.040753222,1.833546667,0.201874272
1.42,2.2174,1.58659,1.58659,0.088426946,1.79686,0.297366686
1.43,2.11213,1.55371,1.55371,0.069296199,1.73985,0.263241713
1.44,1.93474,1.62139,1.62139,0.021819605,1.72584,0.147714607
1.45,1.94763,1.64049,1.64049,0.020963329,1.74287,0.144787185
1.46,1.91204,1.65279,1.65279,0.014935681,1.739206667,0.122211622
1.47,1.89686,1.55856,1.55856,0.025432642,1.671326667,0.159476149
1.48,1.90497,1.61188,1.61188,0.019089277,1.709576667,0.138163951
1.49,1.85056,1.60689,1.60689,0.01319446,1.688113333,0.11486714
1.5,1.84604,1.61594,1.61594,0.01176578,1.69264,0.10847018
1.51,1.89498,1.67493,1.67493,0.010760445,1.74828,0.103732565
1.52,1.8224,1.59613,1.59613,0.011377358,1.671553333,0.106664701
1.53,1.79345,1.59684,1.59684,0.008590109,1.662376667,0.092682843
1.54,1.75182,1.64355,1.64355,0.002604976,1.67964,0.051038967
1.55,1.73382,1.69598,1.69598,0.000318192,1.708593333,0.017837947
1.56,1.69827,1.61144,1.61144,0.001675433,1.640383333,0.040932055
1.57,1.75237,1.55807,1.55807,0.008389442,1.622836667,0.091593898
1.58,1.69738,1.62106,1.62106,0.001294387,1.6465,0.035977593
1.59,1.70386,1.6112,1.6112,0.001907972,1.642086667,0.043680343
1.6,1.78495,1.71873,1.71873,0.000974464,1.740803333,0.031216407
1.61,1.75872,1.67782,1.67782,0.001454402,1.704786667,0.038136626
1.62,1.82936,1.65898,1.65898,0.006450965,1.715773333,0.080317902
1.63,1.90006,1.66916,1.66916,0.011847736,1.746126667,0.108847304
1.64,1.89476,1.55195,1.55195,0.026115266,1.66622,0.161602184
1.65,1.82577,1.53076,1.53076,0.0193402,1.629096667,0.139069048
1.66,1.73856,1.5724,1.5724,0.006135366,1.627786667,0.078328575
1.67,1.76658,1.53328,1.53328,0.012095309,1.611046667,0.109978675
1.68,1.81706,1.56077,1.56077,0.01459657,1.6462,0.120816265
1.69,1.81812,1.6468,1.6468,0.006522343,1.703906667,0.080761023
1.7,1.89036,1.62261,1.62261,0.015931125,1.71186,0.12621856
1.71,2.002,1.64547,1.64547,0.028247476,1.764313333,0.168069854
1.72,1.91274,1.63726,1.63726,0.016864273,1.729086667,0.129862517
1.73,1.87112,1.59612,1.59612,0.016805556,1.687786667,0.129636243
1.74,1.9034,1.48504,1.48504,0.038894464,1.624493333,0.197216795
1.75,1.9439,1.47448,1.47448,0.048967808,1.630953333,0.22128671
1.76,1.94192,1.58938,1.58938,0.027618767,1.706893333,0.16618895
1.77,1.84364,1.58557,1.58557,0.014800028,1.671593333,0.121655365
1.78,1.79162,1.68828,1.68828,0.002373146,1.722726667,0.048714943
1.79,1.8131,1.6239,1.6239,0.007954809,1.686966667,0.089189735
1.8,1.83276,1.65822,1.65822,0.006769825,1.7164,0.082278945
1.81,1.78246,1.68313,1.68313,0.002192544,1.71624,0.046824611
1.82,1.91412,1.53536,1.53536,0.031879808,1.661613333,0.178549176
1.83,1.78305,1.68191,1.68191,0.002273178,1.715623333,0.047677853
1.84,1.89908,1.58059,1.58059,0.022541307,1.686753333,0.150137626
1.85,1.95528,1.65015,1.65015,0.020689848,1.75186,0.143839661
1.86,1.83181,1.59918,1.59918,0.012025937,1.676723333,0.109662834
1.87,1.80781,1.66586,1.66586,0.004477734,1.713176667,0.066915872
1.88,1.82537,1.66546,1.66546,0.005682491,1.718763333,0.075382297
1.89,1.74486,1.684,1.684,0.000823098,1.704286667,0.028689679
1.9,1.72452,1.74201,1.74201,6.80E-05,1.73618,0.008244865
1.91,1.82799,1.62999,1.62999,0.008712,1.69599,0.093338095
1.92,1.79241,1.54909,1.54909,0.013156583,1.630196667,0.114702148
1.93,1.78263,1.53316,1.53316,0.013830062,1.616316667,0.117601286
1.94,1.85112,1.52856,1.52856,0.023121101,1.63608,0.152056242
1.95,1.84456,1.53346,1.53346,0.02150738,1.63716,0.146653946
1.96,1.88675,1.66149,1.66149,0.011276015,1.736576667,0.106188582
1.97,1.87966,1.64207,1.64207,0.012544224,1.721266667,0.112001
1.98,1.81848,1.76245,1.76245,0.000697636,1.781126667,0.026412795
1.99,1.77497,1.7687,1.7687,8.74E-06,1.77079,0.002955706
2,1.64782,1.79168,1.79168,0.004599044,1.743726667,0.067816254
2.01,1.65164,1.74175,1.74175,0.001804403,1.711713333,0.042478261
2.02,1.63196,1.76498,1.76498,0.003932071,1.72064,0.062706229
2.03,1.69186,1.76646,1.76646,0.001236702,1.741593333,0.035166777
2.04,1.71371,1.76119,1.76119,0.000500967,1.745363333,0.022382287
2.05,1.82908,1.75941,1.75941,0.001078646,1.782633333,0.032842753
2.06,1.78556,1.72819,1.72819,0.000731404,1.747313333,0.027044477
2.07,1.76243,1.76502,1.76502,1.49E-06,1.764156667,0.001220938
2.08,1.86865,1.79211,1.79211,0.00130186,1.817623333,0.036081302
2.09,1.71514,1.83068,1.83068,0.002966554,1.792166667,0.054466078
2.1,1.8027,1.9161,1.9161,0.00285768,1.8783,0.053457273
2.11,1.74046,1.95695,1.95695,0.010415093,1.884786667,0.102054365
2.12,1.71279,1.98533,1.98533,0.016506234,1.894483333,0.128476588
2.13,1.797,1.91054,1.91054,0.00286474,1.872693333,0.053523269
2.14,1.75017,1.8667,1.8667,0.003017609,1.827856667,0.054932769
2.15,1.77383,1.93442,1.93442,0.005730922,1.88089,0.075702852
2.16,1.77383,1.92176,1.92176,0.004862952,1.87245,0.069734871
2.17,1.78676,1.95316,1.95316,0.006153102,1.897693333,0.078441712
2.18,1.76807,1.95487,1.95487,0.007754276,1.892603333,0.088058364
2.19,1.78933,1.952,1.952,0.00588034,1.897776667,0.076683373
2.2,1.59335,1.9864,1.9864,0.034330734,1.855383333,0.185285547
2.21,1.70748,1.91045,1.91045,0.009154849,1.842793333,0.095680976
2.22,1.77169,1.8557,1.8557,0.001568373,1.827696667,0.039602694
2.23,1.72976,1.80165,1.80165,0.001148483,1.777686667,0.033889271
2.24,1.76145,1.88831,1.88831,0.003576324,1.846023333,0.059802378
2.25,1.86101,1.86634,1.86634,6.31E-06,1.864563333,0.002512586
2.26,1.82571,1.87199,1.87199,0.000475964,1.856563333,0.021816601
