"Time (ns)","RMSD (Å)"
5.11,1.93487
5.12,1.88894
5.13,1.93298
5.14,1.98505
5.15,1.94167
5.16,1.9295
5.17,1.86281
5.18,1.87396
5.19,1.85982
5.2,1.91352
5.21,1.88152
5.22,1.83371
5.23,1.79776
5.24,1.86268
5.25,1.88396
5.26,1.7983
5.27,1.8645
5.28,1.92558
5.29,1.91584
5.3,1.91741
5.31,1.92602
5.32,1.90843
5.33,1.82992
5.34,1.84029
5.35,1.87185
5.36,1.85065
5.37,1.95276
5.38,1.88022
5.39,1.8946
5.4,1.93218
5.41,1.91391
5.42,1.9492
5.43,1.95169
5.44,1.88483
5.45,1.79081
5.46,1.83392
5.47,1.86968
5.48,1.92922
5.49,1.80369
5.5,1.86716
5.51,1.80041
5.52,1.91849
5.53,1.93086
5.54,1.82696
5.55,1.88995
5.56,1.89602
5.57,1.89663
5.58,1.85223
5.59,1.76984
5.6,1.87321
5.61,1.89656
5.62,1.8957
5.63,1.92558
5.64,1.97811
5.65,1.95001
5.66,2.07554
5.67,1.94909
5.68,1.95136
5.69,1.96265
5.7,2.13406
5.71,1.9706
5.72,1.93452
5.73,1.90591
5.74,1.87361
5.75,1.95254
5.76,1.96446
5.77,1.92518
5.78,2.01608
5.79,1.92384
5.8,1.9095
5.81,1.91567
5.82,1.97961
5.83,1.89552
5.84,1.93868
5.85,1.8966
5.86,1.95553
5.87,1.99904
5.88,1.99648
5.89,1.98461
5.9,2.06553
5.91,1.98477
5.92,1.95249
5.93,1.97496
5.94,1.99451
5.95,1.93999
5.96,1.93771
5.97,1.94616
5.98,1.98712
5.99,1.97082
6,2.02023
6.01,2.04063
6.02,2.07804
6.03,1.98272
6.04,2.00069
6.05,1.99487
6.06,1.968
6.07,1.96429
6.08,2.04141
6.09,1.97451
6.1,2.03371
6.11,2.03078
6.12,1.99262
6.13,2.04397
6.14,2.06025
6.15,2.04491
6.16,1.95886
6.17,1.98927
6.18,2.08935
6.19,2.01965
6.2,1.98989
6.21,1.99856
6.22,1.96223
6.23,1.97895
6.24,2.06944
6.25,2.1573
6.26,2.09774
6.27,1.94794
6.28,1.92556
6.29,2.00187
6.3,1.98728
6.31,2.004
6.32,2.00071
6.33,2.02147
6.34,2.01669
6.35,1.91646
6.36,2.0295
6.37,2.00831
6.38,1.93465
6.39,1.89248
6.4,2.05129
6.41,2.0747
6.42,2.00965
6.43,2.05108
6.44,2.06916
6.45,2.01556
6.46,2.07554
6.47,1.98529
6.48,2.00484
6.49,1.98796
6.5,1.96925
6.51,1.97542
6.52,2.14767
6.53,2.20185
6.54,2.10632
6.55,2.11521
6.56,2.07506
6.57,2.09855
6.58,2.13594
6.59,2.12315
6.6,2.16341
6.61,2.11032
6.62,2.16063
6.63,2.20432
6.64,2.19916
6.65,2.06628
6.66,2.02565
6.67,2.12116
6.68,2.07396
6.69,2.03583
6.7,2.02104
6.71,2.07648
6.72,2.16206
6.73,2.04364
6.74,1.95266
6.75,2.10293
6.76,2.07926
6.77,2.14291
6.78,2.19166
6.79,2.20132
6.8,2.11522
6.81,2.27629
6.82,2.22595
6.83,2.25304
6.84,2.19671
6.85,2.28668
6.86,2.3479
6.87,2.26176
6.88,2.15111
6.89,2.2182
6.9,2.23375
6.91,2.08772
6.92,2.21587
6.93,2.25023
6.94,2.09249
6.95,2.13435
6.96,2.12715
6.97,2.12974
6.98,2.18921
6.99,2.27057
7,2.22408
7.01,2.20511
7.02,2.32281
7.03,2.15476
7.04,2.16081
7.05,2.27887
7.06,2.1918
7.07,2.16346
7.08,2.18941
7.09,2.18865
7.1,2.1988
7.11,2.2912
7.12,2.24198
7.13,2.2651
7.14,2.21918
7.15,2.33703
7.16,2.29564
7.17,2.31059
7.18,2.30109
7.19,2.40755
7.2,2.35576
7.21,2.49092
7.22,2.40782
7.23,2.4252
7.24,2.43691
7.25,2.42355
7.26,2.39475
7.27,2.39152
7.28,2.44757
7.29,2.36938
7.3,2.41279
7.31,2.3253
7.32,2.39101
7.33,2.28624
7.34,2.29086
7.35,2.35285
7.36,2.294
7.37,2.25939
7.38,2.37954
7.39,2.28756
7.4,2.19611
7.41,2.26908
7.42,2.42496
7.43,2.44555
7.44,2.34126
7.45,2.30734
7.46,2.32114
7.47,2.26573
7.48,2.31918
7.49,2.3624
7.5,2.27164
7.51,2.1473
7.52,2.17551
7.53,2.35949
7.54,2.28232
7.55,2.19521
7.56,2.18892
7.57,2.17655
7.58,2.18342
7.59,2.27374
7.6,2.22249
7.61,2.17165
7.62,2.18469
7.63,2.20679
7.64,2.18159
7.65,2.22881
7.66,2.27185
7.67,2.35107
7.68,2.34913
7.69,2.33316
7.7,2.33155
7.71,2.28872
7.72,2.15193
7.73,2.14569
7.74,2.24408
7.75,2.12106
7.76,2.09761
7.77,2.05345
7.78,2.05229
7.79,2.22193
7.8,2.14616
7.81,2.28809
7.82,2.23162
7.83,2.24367
7.84,2.32698
7.85,2.2001
7.86,2.20422
7.87,2.43783
7.88,2.44344
7.89,2.4165
7.9,2.4281
7.91,2.45337
7.92,2.53254
7.93,2.39987
7.94,2.46933
7.95,2.30152
7.96,2.24991
7.97,2.24636
7.98,2.19054
7.99,2.1951
8,2.20286
8.01,2.14279
8.02,2.207
8.03,2.24522
8.04,2.26028
8.05,2.24988
8.06,2.15679
8.07,2.25607
8.08,2.19466
8.09,2.31904
8.1,2.21446
8.11,2.22385
8.12,2.19978
8.13,2.23729
8.14,2.12829
8.15,2.17595
8.16,2.19853
8.17,2.15246
8.18,2.14651
8.19,2.17672
8.2,2.21452
8.21,2.22258
8.22,2.26337
8.23,2.4243
8.24,2.51787
8.25,2.55278
8.26,2.44522
8.27,2.42248
8.28,2.3592
8.29,2.3957
8.3,2.2389
8.31,2.23395
8.32,2.28341
8.33,2.23951
8.34,2.20851
8.35,2.29491
8.36,2.25649
8.37,2.25645
8.38,2.18617
8.39,2.11769
8.4,2.15544
8.41,2.16417
8.42,2.11339
8.43,2.11726
8.44,2.18419
8.45,2.20047
8.46,2.13348
8.47,2.17932
8.48,2.23546
8.49,2.24333
8.5,2.21354
8.51,2.28939
8.52,2.11241
8.53,2.07126
8.54,2.09598
8.55,2.18055
8.56,2.23603
8.57,2.19954
8.58,2.29132
8.59,2.20793
8.6,2.21052
8.61,2.27343
8.62,2.2983
8.63,2.23834
8.64,2.26711
8.65,2.28436
8.66,2.3167
8.67,2.27507
8.68,2.22899
8.69,2.18875
8.7,2.16281
8.71,2.3496
8.72,2.37188
8.73,2.34279
8.74,2.3213
8.75,2.2471
8.76,2.25506
8.77,2.20395
8.78,2.11276
8.79,2.20814
8.8,2.08811
8.81,2.1117
8.82,2.17424
8.83,2.25113
8.84,2.15645
8.85,2.28949
8.86,2.19526
8.87,2.28036
8.88,2.24599
8.89,2.20607
8.9,2.25469
8.91,2.21892
8.92,2.15307
8.93,2.24134
8.94,2.22683
8.95,2.27467
8.96,2.287
8.97,2.37263
8.98,2.32404
8.99,2.29215
9,2.24397
9.01,2.27014
9.02,2.23577
9.03,2.30179
9.04,2.33039
9.05,2.25502
9.06,2.25259
9.07,2.29681
9.08,2.23655
9.09,2.15847
9.1,2.16314
9.11,2.20795
9.12,2.24457
9.13,2.30324
9.14,2.25886
9.15,2.31941
9.16,2.20743
9.17,2.29069
9.18,2.17493
9.19,2.26263
9.2,2.32794
9.21,2.37055
9.22,2.26402
9.23,2.27559
9.24,2.2718
9.25,2.28105
9.26,2.17383
9.27,2.29249
9.28,2.3338
9.29,2.41243
9.3,2.32666
9.31,2.2505
9.32,2.26549
9.33,2.30052
9.34,2.32979
9.35,2.22455
9.36,2.2454
9.37,2.23776
9.38,2.18579
9.39,2.24873
9.4,2.17347
9.41,2.23291
9.42,2.17568
9.43,2.1639
9.44,2.19218
9.45,2.27086
9.46,2.24804
9.47,2.1859
9.48,2.18449
9.49,2.21435
9.5,2.16293
9.51,2.19384
9.52,2.23587
9.53,2.21527
9.54,2.11583
9.55,2.14683
9.56,2.11902
9.57,2.139
9.58,2.00801
9.59,2.09517
9.6,2.09077
9.61,2.159
9.62,2.19406
9.63,2.25112
9.64,2.20161
9.65,2.26136
9.66,2.34258
9.67,2.3737
9.68,2.31593
9.69,2.33944
9.7,2.31349
9.71,2.37785
9.72,2.40254
9.73,2.34525
9.74,2.34893
9.75,2.22301
9.76,2.21239
9.77,2.23371
9.78,2.26709
9.79,2.31021
9.8,2.37427
9.81,2.45544
9.82,2.32387
9.83,2.18706
9.84,2.20763
9.85,2.17689
9.86,2.22642
9.87,2.15312
9.88,2.10049
9.89,2.17493
9.9,2.21076
9.91,2.18644
9.92,2.31121
9.93,2.19735
9.94,2.36808
9.95,2.3804
9.96,2.28265
9.97,2.30562
9.98,2.34845
9.99,2.31292
10,2.34994
10.01,2.25957
10.02,2.3004
10.03,2.30471
10.04,2.20102
10.05,2.27124
10.06,2.26041
10.07,2.18258
10.08,2.31765
10.09,2.30858
10.1,2.36686
10.11,2.24615
10.12,2.30603
10.13,2.44668
10.14,2.21476
10.15,2.36024
10.16,2.30458
10.17,2.33508
10.18,2.39642
10.19,2.33744
10.2,2.36764
10.21,2.35579
10.22,2.47132
10.23,2.44867
10.24,2.39032
10.25,2.22843
10.26,2.3483
10.27,2.35306
10.28,2.25501
10.29,2.23322
10.3,2.17047
10.31,2.10014
10.32,2.16515
10.33,2.14177
10.34,2.004
10.35,2.07619
10.36,2.12107
10.37,2.08544
10.38,1.98079
10.39,2.02348
10.4,2.11998
10.41,2.0737
10.42,2.07221
10.43,2.07342
10.44,2.10504
10.45,2.12784
10.46,2.20844
10.47,2.18868
10.48,2.18358
10.49,2.18622
10.5,2.27943
10.51,2.34555
10.52,2.38147
10.53,2.32426
10.54,2.34402
10.55,2.31717
10.56,2.35243
10.57,2.30792
10.58,2.34318
10.59,2.333
10.6,2.26345
10.61,2.26645
10.62,2.31213
10.63,2.30087
10.64,2.2624
10.65,2.32031
10.66,2.27225
10.67,2.1428
10.68,2.1577
10.69,2.20624
10.7,2.16246
10.71,2.18777
10.72,2.27899
10.73,2.17933
10.74,2.23704
10.75,2.25557
10.76,2.21464
10.77,2.21743
10.78,2.26699
10.79,2.14161
10.8,2.21765
10.81,2.23258
10.82,2.21991
10.83,2.31189
10.84,2.21635
10.85,2.30338
10.86,2.21856
10.87,2.22197
10.88,2.15454
10.89,2.20802
10.9,2.1959
10.91,2.2127
10.92,2.17595
10.93,2.20403
10.94,2.24876
10.95,2.20949
10.96,2.23156
10.97,2.1843
10.98,2.20121
10.99,2.11756
11,2.09097
11.01,2.18667
11.02,2.18185
11.03,2.12816
11.04,2.1483
11.05,2.16347
11.06,2.11194
11.07,2.05236
11.08,2.15712
11.09,2.10933
11.1,2.13392
11.11,2.02899
11.12,2.15638
11.13,2.21279
11.14,2.1247
11.15,2.08847
11.16,2.07678
11.17,2.10222
11.18,2.04928
11.19,2.1694
11.2,2.12849
11.21,2.07174
11.22,2.10833
11.23,1.9924
11.24,2.06044
11.25,2.07954
11.26,2.06913
11.27,1.99158
11.28,2.0955
